S&P 500 value,2017-06-01,2017-10-01,2017-11-16,2017-12-01
1800.0,-48.239115782187014,-53.76534198161437,-54.010835548642035,-54.01083787238633
1810.0,-47.590602318468655,-53.68693695152035,-54.01083172016695,-54.010837872386446
1820.0,-46.89083957092987,-53.58711514618051,-54.01082216367297,-54.010837872386446
1830.0,-46.13833164263269,-53.4611402193608,-54.01079916339256,-54.01083787238633
1840.0,-45.33181715757826,-53.30353047509254,-54.01074575518885,-54.010837872386446
1850.0,-44.470296798839286,-53.10801390937536,-54.01062602648062,-54.01083787238633
1860.0,-43.55305957236442,-52.86749729006749,-54.010366741766575,-54.010837872386446
1870.0,-42.579707386462815,-52.574053248511746,-54.00982397354983,-54.01083787238633
1880.0,-41.55017754686139,-52.21892934201742,-54.00872501947197,-54.01083787238633
1890.0,-40.46476278442617,-51.79258284401942,-54.006571545175916,-54.010837872386446
1900.0,-39.32412845687713,-51.284744611260294,-54.00248495347978,-54.01083787238633
1910.0,-38.12932659685407,-50.68451475768728,-53.99497027983847,-54.010837872386446
1920.0,-36.88180651591068,-49.980492036289775,-53.98157190068093,-54.01083787238633
1930.0,-35.58342171686047,-49.16093780887104,-53.958395061556644,-54.01083787238639
1940.0,-34.23643291457478,-48.21397429738033,-53.91947408724343,-54.010837872386446
1950.0,-32.84350701704159,-47.12781549834426,-53.85598334751046,-54.01083787238633
1960.0,-31.407711973224025,-45.89102775344713,-53.75531185792738,-54.010837872386446
1970.0,-29.932507451073434,-44.492815561849454,-53.60005612286017,-54.01083787238633
1980.0,-28.42173136694356,-42.92332685576707,-53.36702511791884,-54.01083787238639
1990.0,-26.879582345430663,-41.17397070489767,-53.02638984265667,-54.010837872386446
2000.0,-25.310598245562062,-39.23773933062597,-52.54113892402842,-54.010837872386446
2010.0,-23.71963094396648,-37.10952545608848,-51.86701170332424,-54.010837872386446
2020.0,-22.111817617480597,-34.78642544360349,-50.95306292527181,-54.01083787238633
2030.0,-20.492548815568625,-32.268018416441805,-49.74296448519476,-54.01083787238633
2040.0,-18.867433656252615,-29.556611653916946,-48.17707186711459,-54.01083787238633
2050.0,-17.242262517197275,-26.657442999334023,-46.195185304676045,-54.01083787238639
2060.0,-15.62296762568343,-23.578831825695488,-43.73983397878408,-54.010837872386446
2070.0,-14.015581977018428,-20.33227124524103,-40.759824839732374,-54.01083787238642
2080.0,-12.42619702997905,-16.932455691809707,-37.21374424029676,-54.01083787238636
2090.0,-10.860919640271732,-13.397239702481926,-33.07309346900209,-54.01083787238639
2100.0,-9.325828698347038,-9.74752561867325,-28.32478244518029,-54.01083787238639
2110.0,-7.826931936603387,-6.007079949764432,-22.972792597838577,-44.07746424297477
2120.0,-6.370123363003586,-2.202280221928106,-17.03893394812502,-34.14409061356321
2130.0,-4.961141763863338,1.638203803714589,-10.562740086288727,-24.21071698415159
2140.0,-3.6055306983920445,5.483788690446659,-3.600644392073562,-14.277343354739912
2150.0,-2.308600382024281,9.302408003151058,3.775357871243159,-4.34396972532835
2160.0,-1.0753918251415655,13.06098586332918,11.479344672037826,5.5894039040832695
2170.0,0.0893564407994063,16.725942841911632,19.41321885897287,15.522777533494889
2180.0,1.1812387558073567,20.26372267343214,27.46846915366517,25.45615116290645
2190.0,2.196209589645946,23.64132765272747,35.527924651393135,35.38952479231813
2200.0,3.1306074559157224,26.826850323843885,43.46757321568563,45.32289842172972
2210.0,3.981175316387265,29.789989193473616,51.158573781912324,55.25627205114131
2220.0,4.745077355072219,32.50253668743132,58.46961038537155,65.18964568055293
2230.0,5.419912046531962,34.93882839537994,65.26970591476555,75.12301930996452
2240.0,6.003721487153015,37.07614378160018,71.4315409547152,85.05639293937611
2250.0,6.4949970011659985,38.89504993385131,76.83522184992788,94.98976656878774
2260.0,6.892681074188978,40.37968152631093,81.3723328567502,104.92314019819938
2270.0,7.1961657058904045,41.5179519290364,84.95001245897271,114.85651382761097
2280.0,7.405287309186193,42.30169224485955,87.49473339529604,124.78988745702259
2290.0,7.520318316175864,42.72671693409553,88.95545271564268,134.7232610864342
2300.0,7.541955680244577,42.7928165385827,89.30583605020432,144.6566347158458
2310.0,7.471306489328175,42.50367978341994,88.54534328485082,134.72326108643418
2320.0,7.309870927027191,41.866748967291386,86.69907680153258,124.78988745702259
2330.0,7.059522836044053,40.89301400713059,83.81641907339173,114.85651382761097
2340.0,6.722488152178194,39.59675174519623,79.96860331043789,104.92314019819935
2350.0,6.301321487017361,37.99521813030607,75.24545150632832,94.98976656878776
2360.0,5.79888114352147,36.10830163332815,69.75156707693579,85.05639293937614
2370.0,5.218302851036199,33.958146742824965,63.60228035754065,75.12301930996452
2380.0,4.562972505189379,31.56875661132392,56.9196181867369,65.18964568055293
2390.0,3.8364981937223916,28.96558389627731,49.82851338704759,55.25627205114131
2400.0,3.042681781967417,26.1751185793282,42.45339943775102,45.32289842172969
2410.0,2.185490321550134,23.224481076681116,34.91526392618468,35.3895247923181
2420.0,1.2690275334699663,20.141028300402695,27.329173304847416,25.45615116290648
2430.0,0.29750560206882426,16.951979527367058,19.802238943703145,15.522777533494889
2440.0,-0.7247824998851087,13.68406801343653,12.431973468605776,5.5894039040832695
2450.0,-1.7934899525773744,10.363223290162608,5.304985273748457,-4.34396972532835
2460.0,-2.9042421134641643,7.014288034524952,-1.5040273515635079,-14.277343354739969
2470.0,-4.052661460673761,3.6607723418401577,-7.933000067313088,-24.21071698415156
2480.0,-5.234391311855632,0.32464718860262565,-13.932940968363567,-34.14409061356318
2490.0,-6.44511819524746,-2.973822127093001,-19.468065725825056,-44.07746424297477
2500.0,-7.680592770105932,-6.216202711488052,-24.515606880642878,-54.01083787238639
2510.0,-8.93664921370754,-9.385981956057435,-29.065281523921527,-54.01083787238639
2520.0,-10.209223011727175,-12.46861830531384,-33.11841811874908,-54.01083787238639
2530.0,-11.494367107632456,-15.451557274978143,-36.686766093990514,-54.01083787238639
2540.0,-12.788266384735692,-18.32421559798911,-39.79103661180622,-54.01083787238639
2550.0,-14.087250471521116,-21.07793677034448,-42.45924506419834,-54.01083787238639
2560.0,-15.387804876652808,-23.70592154577193,-44.72494166876757,-54.01083787238639
2570.0,-16.686580474715328,-26.20313709270647,-46.62542365653823,-54.01083787238639
2580.0,-17.98040137697808,-28.566208586869493,-48.20002023040391,-54.01083787238639
2590.0,-19.2662712334143,-30.79329697773383,-49.4885305041561,-54.01083787238639
2600.0,-20.541378022789075,-32.88396654892003,-50.52987698565278,-54.01083787238639
2610.0,-21.803097396752605,-34.83904570359195,-51.36101553059001,-54.01083787238639
2620.0,-23.048994651691117,-36.66048415932218,-52.01611994406056,-54.01083787238639
2630.0,-24.276825408529334,-38.351209445813396,-52.52603815639847,-54.01083787238639
2640.0,-25.484535085800644,-39.914985276066574,-52.91799915915644,-54.01083787238639
2650.0,-26.670257255205684,-41.35627401919456,-53.21553689428569,-54.01083787238639
2660.0,-27.832310971564283,-42.680105152186826,-53.43858948806562,-54.01083787238639
2670.0,-28.969197170657054,-43.89195121846876,-53.60372936225059,-54.01083787238639
2680.0,-30.07959422901456,-44.99761248165444,-53.72448107844514,-54.01083787238639
2690.0,-31.16235277929283,-46.0031111406567,-53.81168821984352,-54.01083787238639
2700.0,-32.216489873651,-46.91459567301928,-53.873897034595274,-54.01083787238639
2710.0,-33.24118258549814,-47.73825560131914,-53.917731875793805,-54.01083787238639
2720.0,-34.235761137285664,-48.48024673573528,-53.94824477709119,-54.01083787238639
2730.0,-35.19970163872756,-49.14662673614035,-53.9692281446047,-54.01083787238639
2740.0,-36.13261851605185,-49.743300659982594,-53.98348512086028,-54.01083787238639
2750.0,-37.034256708667954,-50.275976017432754,-53.99305650630802,-54.01083787238639
2760.0,-37.904483705116746,-50.75012674163821,-53.99940620829611,-54.01083787238639
2770.0,-38.74328148537077,-51.170965397616385,-54.003569149674206,-54.01083787238639
2780.0,-39.55073843159323,-51.54342289599299,-54.00626660332199,-54.01083787238639
2790.0,-40.32704126437355,-51.87213494479741,-54.007994244998685,-54.01083787238639
2800.0,-41.07246705633693,-52.16143446087992,-54.00908804862837,-54.01083787238639
