S,Payoff
50.0,-6.833195225542276
51.0,-6.833195225542276
52.0,-6.833195225542276
53.0,-6.833195225542276
54.0,-6.833195225542276
55.0,-6.833195225542276
56.0,-6.833195225542276
57.0,-6.833195225542276
58.0,-6.833195225542276
59.0,-6.833195225542276
60.0,-6.833195225542276
61.0,-6.833195225542276
62.0,-6.833195225542276
63.0,-6.833195225542276
64.0,-6.833195225542276
65.0,-6.833195225542276
66.0,-6.833195225542276
67.0,-6.833195225542276
68.0,-6.833195225542276
69.0,-6.833195225542276
70.0,-6.833195225542276
71.0,-6.833195225542276
72.0,-6.833195225542276
73.0,-6.833195225542276
74.0,-6.833195225542276
75.0,-6.833195225542276
76.0,-6.833195225542276
77.0,-6.833195225542276
78.0,-6.833195225542276
79.0,-6.833195225542276
80.0,-6.833195225542276
81.0,-6.833195225542276
82.0,-6.833195225542276
83.0,-6.833195225542276
84.0,-6.833195225542276
85.0,-6.833195225542276
86.0,-6.833195225542276
87.0,-6.833195225542276
88.0,-6.833195225542276
89.0,-6.833195225542276
90.0,-6.833195225542276
91.0,-6.833195225542276
92.0,-6.833195225542276
93.0,-6.833195225542276
94.0,-6.833195225542276
95.0,-6.833195225542276
96.0,-6.833195225542276
97.0,-6.833195225542276
98.0,-6.833195225542276
99.0,-6.833195225542276
100.0,-6.833195225542276
101.0,-5.839857862601115
102.0,-4.846520499659954
103.0,-3.8531831367187936
104.0,-2.8598457737776326
105.0,-1.866508410836472
106.0,-0.873171047895311
107.0,0.12016631504585007
108.0,1.113503677987011
109.0,2.106841040928172
110.0,3.1001784038693323
111.0,4.093515766810494
112.0,5.086853129751654
113.0,6.080190492692816
114.0,7.0735278556339765
115.0,8.066865218575138
116.0,9.060202581516299
117.0,10.053539944457459
118.0,11.04687730739862
119.0,12.040214670339783
120.0,13.033552033280941
121.0,14.026889396222103
122.0,15.020226759163265
123.0,16.013564122104427
124.0,17.006901485045585
125.0,18.000238847986747
126.0,18.99357621092791
127.0,19.986913573869067
128.0,20.98025093681023
129.0,21.97358829975139
130.0,22.966925662692553
131.0,23.96026302563371
132.0,24.953600388574873
133.0,25.94693775151603
134.0,26.940275114457194
135.0,27.933612477398356
136.0,28.926949840339518
137.0,29.92028720328068
138.0,30.91362456622184
139.0,31.906961929163003
140.0,32.90029929210416
141.0,33.89363665504532
142.0,34.88697401798648
143.0,35.880311380927644
144.0,36.873648743868806
145.0,37.86698610680997
146.0,38.86032346975113
147.0,39.853660832692285
148.0,40.84699819563345
149.0,41.84033555857461
150.0,42.83367292151577
